theta       Dist 
355.92       02411.25
356.89       02410.25
357.89       02410.25
358.69       02407.00
359.66       02408.00
0.92       02407.75
1.95       02404.25
2.92       02407.75
3.94       02407.75
4.95       02408.25
5.95       02408.25
6.98       02408.75
7.98       02413.00
9.00       02426.00
10.02       02426.25
11.00       02441.25
12.00       02442.50
13.00       02446.25
14.02       02452.00
15.03       02465.75
16.00       02481.00
17.08       02485.50
18.06       02502.50
19.09       02509.00
20.09       02526.75
21.12       02546.50
22.09       02567.25
23.09       02585.50
24.14       02594.75
25.12       02625.00
26.14       02633.25
27.12       02655.75
28.16       02678.25
29.14       02715.75
30.14       02724.25
31.17       02765.00
32.17       02775.00
33.19       02817.00
34.16       02847.50
35.19       02874.25
36.19       02905.00
37.17       02949.00
38.19       02980.50
39.20       03012.50
40.19       03061.25
40.97       03097.50
42.00       03134.50
43.00       03100.25
44.00       03040.75
45.02       02983.50
46.00       02934.00
47.03       02895.75
48.05       02844.50
49.05       02796.25
50.05       02750.25
51.06       02705.75
52.03       02691.75
53.08       02633.25
54.06       02608.00
55.06       02582.50
56.08       02546.00
57.09       02510.25
58.09       02496.00
59.11       02458.75
60.09       02460.00
61.12       02408.25
62.11       02388.00
63.11       02361.25
64.14       02330.50
65.06       02323.50
66.09       02298.00
67.06       02289.50
68.09       02271.50
69.08       02255.75
70.11       02239.25
71.09       02226.75
72.08       02213.25
73.06       02199.00
74.09       02184.25
75.11       02180.75
76.09       02165.75
77.11       02153.75
78.09       02150.25
79.06       02147.50
80.11       02136.00
81.06       02133.75
82.11       02121.75
83.08       02129.50
84.06       02110.75
85.11       02100.50
86.09       02099.50
87.08       02099.50
88.08       02098.25
89.20       02097.50
90.23       02096.75
91.22       02097.25
92.23       02096.50
93.23       02096.50
94.23       02097.00
95.22       02097.50
96.23       02098.25
97.23       02099.75
98.23       02110.25
99.23       02111.75
100.27       02114.00
101.22       02132.25
102.27       02134.25
103.27       02139.50
104.27       02149.75
105.27       02154.25
106.23       02180.25
107.23       02186.00
108.23       02189.00
109.28       02110.25
110.34       02016.75
111.38       01912.50
112.36       01825.75
113.53       01745.75
114.56       01678.75
115.58       01612.25
116.59       01555.75
117.69       01494.75
118.73       01444.75
119.77       01398.50
120.81       01357.75
121.78       01312.25
122.89       01276.75
123.91       01236.50
124.97       01206.75
125.98       01175.00
127.05       01147.00
128.06       01122.00
129.06       01093.25
130.14       01068.75
131.14       01045.25
132.14       01023.75
133.22       01004.75
134.25       00984.50
135.31       00967.00
136.27       00947.50
137.34       00931.50
138.23       00914.25
139.17       00897.25
140.22       00884.50
141.30       00872.25
142.30       00858.50
143.38       00845.25
144.39       00833.00
145.33       00821.75
146.44       00812.75
147.47       00802.50
148.41       00793.50
149.53       00785.00
150.50       00775.25
151.56       00766.25
152.48       00757.25
153.53       00750.75
154.56       00742.75
155.48       00736.50
156.50       00729.50
157.62       00722.50
158.72       00716.75
159.55       00712.75
160.58       00708.25
161.58       00702.75
162.52       00698.00
163.64       00693.75
164.56       00691.25
165.53       00685.25
166.59       00681.00
167.52       00680.75
168.61       00676.00
169.56       00673.50
170.72       00671.50
171.69       00668.50
172.61       00666.50
173.56       00665.75
174.66       00664.00
175.53       00661.25
176.56       00660.75
177.70       00660.50
178.56       00660.25
179.62       00660.00
180.55       00659.00
181.50       00659.00
182.67       00659.50
183.55       00660.00
184.64       00660.00
185.62       00662.25
186.83       00662.50
188.02       00662.75
189.03       00665.75
190.03       00666.75
190.84       00668.25
192.03       00671.00
193.05       00672.50
194.00       00674.50
194.92       00678.50
195.92       00681.50
196.92       00684.25
197.98       00688.75
198.88       00692.25
199.91       00696.50
200.92       00699.50
202.02       00704.25
203.02       00709.75
203.94       00714.75
204.92       00719.75
205.97       00725.50
206.92       00731.50
207.92       00737.75
208.94       00746.50
209.80       00751.75
210.66       00757.50
211.64       00766.50
212.62       00776.50
213.66       00784.75
214.55       00793.75
215.62       00802.50
216.52       00812.00
217.56       00821.50
218.48       00833.50
219.50       00844.50
220.53       00857.50
221.42       00870.25
222.39       00883.50
223.42       00896.50
224.47       00910.75
225.38       00924.25
226.41       00942.00
227.34       00957.00
228.38       00977.25
229.34       00994.50
230.25       01012.25
231.25       01030.25
232.23       01053.75
233.23       01076.00
234.16       01102.00
235.14       01124.75
236.08       01151.25
237.12       01176.00
238.12       01207.50
239.09       01235.50
240.06       01272.00
241.00       01309.00
241.94       01348.50
242.94       01386.00
243.91       01428.00
244.86       01479.00
245.88       01528.00
246.81       01580.75
247.75       01653.50
248.73       01707.75
249.70       01772.75
250.67       01864.00
251.69       01945.25
252.64       01966.75
253.64       01954.00
254.67       01947.00
255.66       01955.25
256.89       01943.75
257.86       01933.25
258.86       01924.00
259.88       01914.25
260.88       01911.25
261.91       01909.25
262.92       01907.25
263.95       01901.50
264.92       01896.00
265.94       01896.00
266.95       01894.00
268.00       01893.50
268.98       01891.75
270.02       01878.25
270.98       01886.75
272.03       01885.75
273.05       01886.00
274.00       01892.50
275.03       01891.25
276.05       01894.00
277.08       01896.00
278.08       01896.75
279.08       01904.25
280.09       01900.00
281.30       01901.25
282.31       01910.25
283.52       00000.00
284.52       00000.00
285.52       00000.00
286.53       00000.00
287.53       00000.00
288.53       00000.00
289.55       00000.00
290.55       00000.00
291.56       00000.00
292.56       00000.00
293.56       00000.00
294.58       00000.00
295.58       00000.00
296.58       00000.00
297.59       00000.00
298.59       00000.00
299.59       00000.00
300.61       00000.00
301.61       00000.00
302.58       02183.00
303.62       02199.50
304.61       02229.75
305.42       02256.75
306.45       02279.00
307.42       02310.25
308.47       02332.50
309.44       02351.75
310.45       02395.25
311.44       02431.00
312.45       02465.75
313.45       02508.00
314.45       02521.00
315.47       02463.75
316.47       02504.00
317.52       02439.75
318.52       02447.75
319.52       02470.50
320.52       02525.75
321.45       02899.25
322.44       02952.50
323.45       03031.25
324.47       03008.00
325.50       02975.50
326.48       02944.75
327.52       02896.25
328.55       02867.25
329.53       02823.50
330.55       02812.00
331.59       02768.00
332.59       02729.00
333.62       02719.25
334.62       02696.25
335.64       02674.75
336.64       02650.00
337.66       02626.75
338.69       02594.75
339.67       02587.50
340.70       02566.25
341.72       02548.25
342.73       02530.50
343.77       02524.75
344.75       02505.25
345.77       02488.50
346.78       02481.25
347.81       02465.75
348.80       02451.25
349.84       02447.00
350.86       02444.50
351.84       02441.00
353.16       02438.00
354.17       02435.75
355.17       02414.50
356.19       02412.00
357.25       02409.25
358.25       02408.25
358.94       02406.75
359.91       02405.75
0.30       02408.00
1.30       02407.75
2.34       02406.00
3.34       02405.50
4.36       02407.50
5.42       02409.00
6.42       02410.50
7.47       02411.50
8.48       02411.50
9.48       02414.25
10.50       02437.00
11.52       02438.75
12.56       02443.50
13.58       02447.25
14.61       02452.25
15.61       02467.50
16.64       02483.25
17.30       02489.00
18.30       02504.25
19.30       02522.25
20.28       02541.50
21.28       02559.75
22.31       02567.50
23.30       02589.50
24.30       02607.00
25.34       02628.00
26.30       02638.25
27.30       02657.50
28.33       02685.50
29.33       02716.75
30.33       02728.25
31.31       02767.00
32.31       02792.50
33.33       02823.00
34.34       02849.00
35.34       02880.00
36.34       02925.75
37.34       02952.75
38.33       02988.50
39.34       03035.75
40.33       03064.50
41.31       03122.00
42.31       03160.25
43.33       03071.00
44.36       03037.50
45.34       02980.50
46.38       02927.50
47.39       02875.50
48.41       02839.75
49.41       02792.00
50.44       02743.50
51.45       02700.25
52.44       02658.50
53.45       02619.25
54.45       02604.00
55.50       02566.50
56.48       02530.25
57.50       02491.50
58.53       02481.50
59.55       02444.75
60.55       02423.75
61.55       02393.50
62.55       02385.25
63.61       02357.00
64.61       02327.75
65.59       02320.00
66.61       02293.75
67.59       02285.75
68.61       02258.75
69.62       02245.00
70.64       02230.25
71.64       02214.25
72.66       02209.00
73.66       02185.75
74.70       02172.25
75.70       02168.25
76.72       02155.75
77.67       02151.50
78.72       02148.50
79.73       02138.00
80.70       02133.75
81.73       02131.00
82.73       02114.50
83.77       02115.25
84.73       02109.00
85.78       02099.25
86.75       02097.25
87.75       02097.25
88.91       02094.50
89.95       02094.75
90.91       02094.75
91.95       02094.25
92.97       02093.75
93.98       02096.00
95.00       02096.25
96.00       02096.50
96.98       02098.50
98.00       02099.75
99.03       02109.75
100.00       02112.25
101.02       02113.75
102.05       02114.75
103.05       02133.00
104.08       02139.50
105.08       02140.25
106.09       02170.00
107.06       02180.00
108.11       02183.50
109.08       02183.00
110.14       02072.25
111.22       01960.00
112.25       01877.25
113.11       01793.50
114.12       01717.50
115.16       01653.50
116.22       01587.50
117.30       01528.00
118.30       01473.75
119.34       01422.00
120.34       01379.50
121.39       01337.75
122.45       01299.50
123.52       01258.00
124.55       01225.25
125.56       01192.00
126.61       01160.25
127.58       01132.00
128.69       01106.00
129.70       01082.50
130.69       01056.50
131.78       01033.25
132.75       01013.25
133.77       00994.25
134.89       00976.25
135.84       00956.00
136.91       00937.50
137.89       00922.50
138.89       00904.50
139.88       00892.00
140.88       00877.00
141.98       00863.50
142.92       00851.25
143.94       00839.25
145.08       00827.00
146.03       00815.00
147.03       00806.00
148.06       00796.50
149.12       00787.25
150.06       00778.00
151.19       00768.50
152.23       00759.50
153.16       00752.50
154.19       00744.25
155.20       00738.00
156.31       00730.25
157.30       00725.25
158.27       00719.50
159.28       00713.25
160.28       00707.00
161.42       00702.75
162.38       00698.50
163.55       00694.25
164.55       00691.25
165.58       00685.50
166.42       00683.00
167.50       00678.75
168.47       00676.25
169.58       00673.00
170.64       00670.00
171.56       00668.75
172.47       00667.00
173.62       00664.50
174.52       00663.75
175.58       00662.00
176.69       00660.00
177.52       00660.25
178.56       00659.25
179.59       00659.75
180.61       00658.00
181.69       00657.75
182.66       00657.75
183.58       00658.75
184.66       00660.00
185.62       00660.50
186.70       00661.75
187.64       00662.50
188.66       00663.50
189.59       00665.75
190.61       00667.00
191.59       00668.25
192.58       00670.50
193.62       00673.50
194.64       00676.75
195.53       00679.75
196.56       00681.75
197.52       00685.75
198.58       00690.50
199.64       00693.00
200.62       00698.25
201.56       00702.25
202.53       00707.25
203.47       00711.75
204.48       00717.00
205.45       00721.75
206.50       00728.75
207.42       00734.50
208.50       00741.25
209.42       00748.00
210.41       00756.00
211.33       00763.75
212.42       00771.25
213.42       00778.75
214.33       00789.25
215.23       00798.50
216.27       00808.50
217.27       00818.00
218.25       00828.00
219.17       00839.00
220.14       00851.00
221.23       00864.00
222.20       00876.75
223.12       00889.00
224.12       00901.75
225.08       00917.25
226.09       00934.00
227.08       00948.25
227.98       00968.50
229.05       00986.25
229.97       01007.00
230.94       01023.25
231.94       01045.25
232.89       01068.25
233.92       01091.00
234.91       01116.50
235.91       01140.25
236.88       01165.50
237.80       01195.50
238.78       01228.50
239.73       01258.00
240.77       01295.75
241.75       01333.50
242.72       01376.00
243.64       01421.25
244.69       01460.25
