theta       Dist 
322.62       02564.25
323.56       02513.25
324.42       02502.50
325.34       02468.50
326.25       02446.00
327.17       02425.00
328.08       02393.25
328.97       02375.50
329.88       02348.25
330.78       02331.25
331.70       02321.25
332.59       02295.50
333.52       02273.75
334.39       02258.75
335.34       02240.50
336.23       02218.25
337.14       02201.50
338.05       02197.25
338.97       02183.50
339.88       02168.00
340.78       02156.00
341.69       02151.50
342.59       02144.25
343.52       02132.25
344.41       02115.50
345.28       02109.00
346.20       02108.25
347.12       02097.75
348.05       02085.50
348.91       02083.75
349.84       02073.25
350.72       02069.25
351.66       02061.50
352.81       02061.00
353.72       02051.25
354.69       02049.00
355.56       02055.50
356.52       02047.00
357.42       02038.00
358.33       02038.00
358.94       02037.75
359.89       02038.75
0.14       02044.75
1.08       02037.00
1.95       02037.75
2.91       02039.00
3.78       02046.00
4.70       02046.75
5.66       02055.50
6.58       02057.75
7.44       02052.25
8.36       02060.75
9.28       02062.75
10.22       02074.00
11.09       02072.75
12.03       02085.50
12.95       02088.00
13.86       02097.75
14.77       02106.75
15.69       02110.75
16.59       02115.50
17.19       02119.75
18.09       02144.75
19.02       02151.50
19.92       02158.00
20.81       02161.25
21.69       02182.75
22.61       02196.50
23.48       02210.50
24.39       02218.50
25.31       02243.50
26.22       02248.50
27.11       02274.75
27.98       02292.50
28.89       02312.75
29.81       02327.75
30.70       02346.25
31.59       02375.50
32.47       02393.25
33.38       02410.50
34.30       02441.75
35.16       02465.00
36.06       02499.25
36.98       02511.75
37.89       02549.75
38.75       02585.75
39.66       02611.00
40.61       02633.00
41.52       02589.50
42.45       02548.50
43.34       02546.00
44.25       02567.50
45.17       02561.50
46.06       02519.75
46.95       02480.75
47.91       02443.25
48.83       02406.75
49.70       02374.00
50.64       02330.25
51.56       02321.25
52.44       02287.75
53.36       02256.25
54.30       02227.75
55.22       02105.75
56.16       02074.25
57.03       02056.75
57.95       02031.75
58.84       02012.50
59.78       01994.75
60.67       01979.75
61.61       01955.00
62.55       01935.50
63.41       01923.50
64.33       01908.00
65.47       01902.00
66.39       01879.25
67.34       01862.00
68.27       01855.25
69.19       01845.50
70.11       01834.25
70.98       01824.25
71.92       01813.00
72.83       01810.00
73.78       01795.25
74.66       01785.25
75.59       01776.00
76.48       01772.75
77.39       01756.75
78.36       01756.25
79.27       01752.25
80.16       01744.75
81.11       01743.25
81.98       01735.25
82.94       01734.25
